INDEX_NR,INCIDENT_DATE,TIME,AIRPORT_ID,AIRPORT,STATE,LATITUDE,LONGITUDE,PHASE_OF_FLIGHT,HEIGHT,SPEED,AC_MAKE,AC_MODEL,AC_CLASS,AC_MASS,ENG_TYPE,NUM_ENGS,SKY,PRECIPITATION,SPECIES,SPECIES_ID,SIZE,NUM_SEEN,NUM_STRUCK,DAMAGE_IND,DAM_LEVEL,EFFECT,STR_PARTS,DAM_PARTS,COST_REPAIRS,COST_OTHER,NR_INJURIES,NR_FATALITIES,REMARKS,data_origin,operational_use
SAMPLE-00026,2022-07-15,04:16,SAMPLE07,Sample Regional Airport 07 (SYNTHETIC),SS,41.9152252039743,-76.4637177885468,Approach,741.0,212.0,Boeing,Model-120,Airplane,1,Turboprop,2,Overcast,None,Common Buzzard,Buteo buteo,Medium,1,1,UNK,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00027,2023-09-25,07:53,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),SS,33.41781630329869,-101.59032393548226,Descent,1233.0,158.0,Boeing,Model-117,Airplane,3,Turboprop,2,Overcast,Fog,Great Blue Heron,Ardea herodias,Small,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00028,2020-08-14,17:05,SAMPLE23,Sample Regional Airport 23 (SYNTHETIC),,51.81579503952288,0.0724549448993056,Landing Roll,328.0,150.0,Embraer,Model-175,Airplane,3,Turboprop,2,Overcast,Fog,Eurasian Sparrowhawk,Accipiter nisus,Medium,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00029,2024-11-10,21:17,SAMPLE06,Sample Municipal Airport 06 (SYNTHETIC),SS,33.11359608944534,-99.01935378100157,En Route,234.0,205.0,Airbus,Model-285,Airplane,5,Turboprop,2,Overcast,Fog,Great Cormorant,Phalacrocorax carbo,Large,1,1,,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00030,2024-12-27,06:58,SAMPLE16,Sample Municipal Airport 16 (SYNTHETIC),,49.234816193486125,2.300812119084398,En Route,763.0,119.0,Embraer,Model-531,Airplane,1,Turbojet,2,No Cloud,None,Common Ringed Plover,Charadrius hiaticula,Large,1,1,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00031,2019-02-25,09:11,SAMPLE23,Sample Regional Airport 23 (SYNTHETIC),,51.84499016352166,0.03774934011860562,Climb,396.0,97.0,Bombardier,Model-127,Airplane,3,Turbofan,2,Overcast,None,Mute Swan,Cygnus olor,Medium,Over 100,Over 100,N/A,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00032,2019-08-20,11:41,SAMPLE02,Sample Municipal Airport 02 (SYNTHETIC),SS,45.55896303603877,-85.73571462616559,Climb,993.0,132.0,Airbus,Model-173,Airplane,4,Turbojet,2,Some Cloud,Snow,Common Buzzard,Buteo buteo,Small,1,1,Y,M,None,Engine,Engine,13418.88,5014.15,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00033,2019-08-13,03:32,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.849785495984946,13.929880555752238,Approach,213.0,158.0,Bombardier,Model-283,Airplane,5,Turbojet,2,Overcast,None,Barn Swallow,Hirundo rustica,Medium,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00034,2023-06-07,13:40,SAMPLE09,Sample Regional Airport 09 (SYNTHETIC),SS,36.99824471248782,-82.52844304098352,Landing Roll,175.0,139.0,Bombardier,Model-567,Airplane,1,Turboprop,2,No Cloud,None,Mallard,Anas platyrhynchos,Medium,2-10,2-10,Y,M,None,Fuselage,Engine,1256.9,6576.1,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00035,2019-02-28,21:59,SAMPLE03,Sample Regional Airport 03 (SYNTHETIC),SS,35.90780568539882,-78.29665167315224,Landing Roll,753.0,242.0,Airbus,Model-790,Airplane,2,Turbojet,2,Some Cloud,None,Bald Eagle,Haliaeetus leucocephalus,Small,2-10,2-10,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00036,2024-05-28,18:57,,Sample Municipal Airport 10 (SYNTHETIC),SS,42.87646074537304,-102.55814454439607,En Route,1182.0,126.0,Embraer,Model-463,Airplane,2,Turbofan,2,Some Cloud,Fog,Mallard,Anas platyrhynchos,Large,1,1,Y,M,Precautionary Landing,Fuselage,Windshield,8197.43,39.06,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00037,2022-10-03,14:34,SAMPLE03,Sample Regional Airport 03 (SYNTHETIC),SS,35.95635169070462,-78.31216799207951,Landing Roll,15.0,88.0,Embraer,Model-465,Airplane,1,Turboprop,2,Overcast,None,Canada Goose,Branta canadensis,Small,1,1,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00038,2019-05-13,17:06,SAMPLE01,Sample Regional Airport 01 (SYNTHETIC),SS,42.41928916493769,-100.2503352927355,Take-off run,1593.0,89.0,Boeing,Model-100,Airplane,1,Turboprop,2,Some Cloud,Rain,Eurasian Sparrowhawk,Accipiter nisus,Small,2-10,2-10,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00039,2019-05-24,04:42,SAMPLE22,Sample Municipal Airport 22 (SYNTHETIC),,55.750898935829944,6.230267276170782,Approach,2778.0,159.0,Embraer,Model-568,Airplane,1,Turbojet,2,Overcast,Rain,Barn Swallow,Hirundo rustica,Small,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00040,2024-11-01,17:39,SAMPLE09,Sample Regional Airport 09 (SYNTHETIC),SS,37.00164019277049,-82.53931650698948,Approach,619.0,152.0,Boeing,Model-417,Airplane,3,Turbojet,2,Overcast,Fog,Common Kestrel,Falco tinnunculus,Small,1,1,UNK,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00041,2024-02-13,11:07,SAMPLE01,Sample Regional Airport 01 (SYNTHETIC),SS,42.36743389996876,-100.23002448017834,Descent,243.0,249.0,Cessna,Model-233,Airplane,2,Turbojet,2,Overcast,None,Rock Pigeon,Columba livia,Large,1,1,Y,M,Precautionary Landing,Wing,Engine,60462.34,2221.55,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00042,2023-02-08,06:31,,Sample Regional Airport 07 (SYNTHETIC),SS,41.962863730081914,-76.45148830717467,Climb,305.0,231.0,Cessna,Model-857,Airplane,3,Turbojet,2,Overcast,None,American Crow,Corvus brachyrhynchos,Large,1,1,Y,M,None,Nose,Engine,74462.52,32.47,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00043,2018-12-27,17:13,SAMPLE20,Sample Municipal Airport 20 (SYNTHETIC),,54.46135571466982,4.037713124365444,Descent,199.0,207.0,Boeing,Model-124,Airplane,3,Turbofan,2,Overcast,None,Common Raven,Corvus corax,Small,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00044,2019-07-29,05:43,SAMPLE10,Sample Municipal Airport 10 (SYNTHETIC),SS,42.86533409135246,-102.56004583322154,Landing Roll,117.0,144.0,Cessna,Model-431,Airplane,4,Turboprop,2,No Cloud,None,Great Cormorant,Phalacrocorax carbo,Small,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00045,2024-05-13,17:32,SAMPLE11,Sample Regional Airport 11 (SYNTHETIC),SS,33.18579284951515,-119.6312249117491,En Route,185.0,178.0,Cessna,Model-377,Airplane,4,Turboprop,2,Some Cloud,None,Common Starling,Sturnus vulgaris,Small,2-10,2-10,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00046,2020-03-07,14:37,SAMPLE24,Sample Municipal Airport 24 (SYNTHETIC),,57.87083703159982,13.933834423173476,En Route,826.0,245.0,Bombardier,Model-827,Airplane,4,Turbojet,4,No Cloud,None,Barn Swallow,Hirundo rustica,Small,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00047,2021-08-05,23:39,SAMPLE18,Sample Municipal Airport 18 (SYNTHETIC),,46.32076794840614,13.058434376589387,Approach,1610.0,247.0,Bombardier,Model-791,Airplane,5,Turbojet,2,Some Cloud,None,Herring Gull,Larus argentatus,Medium,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00048,2023-01-24,16:13,SAMPLE11,Sample Regional Airport 11 (SYNTHETIC),SS,33.213050835879365,-119.66701692347122,Take-off run,49.0,129.0,Boeing,Model-502,Airplane,5,Turbofan,2,No Cloud,Snow,Canada Goose,Branta canadensis,Small,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00049,2021-04-17,14:06,SAMPLE19,Sample Regional Airport 19 (SYNTHETIC),,47.303051558604395,12.426208342131753,Approach,680.0,141.0,Boeing,Model-435,Airplane,1,Turbojet,2,Some Cloud,Rain,Common Kestrel,Falco tinnunculus,Medium,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00050,2022-10-24,23:04,SAMPLE05,Sample Regional Airport 05 (SYNTHETIC),SS,42.08003223493073,-104.06746741159981,Approach,987.0,102.0,Embraer,Model-518,Airplane,1,Turboprop,2,Some Cloud,None,Common Starling,Sturnus vulgaris,Small,1,1,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00051,2023-07-03,08:17,SAMPLE07,Sample Regional Airport 07 (SYNTHETIC),SS,41.941990800323424,-76.47461386191921,Approach,68.0,176.0,Bombardier,Model-249,Airplane,1,Turbofan,2,Overcast,None,American Crow,Corvus brachyrhynchos,Medium,2-10,2-10,Y,M,Precautionary Landing,Engine,,2500.75,806.85,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00052,2022-11-30,03:13,SAMPLE04,Sample Municipal Airport 04 (SYNTHETIC),SS,33.62507348624662,-95.03177876908123,Take-off run,72.0,111.0,Embraer,Model-626,Airplane,4,Turboprop,4,No Cloud,None,Common Kestrel,Falco tinnunculus,Medium,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00053,2022-03-28,23:20,SAMPLE07,Sample Regional Airport 07 (SYNTHETIC),SS,41.91327725286278,-76.45340208648798,Climb,189.0,186.0,Airbus,Model-102,Airplane,5,Turbojet,2,Some Cloud,None,Eurasian Sparrowhawk,Accipiter nisus,Small,1,1,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00054,2018-03-14,16:17,SAMPLE10,Sample Municipal Airport 10 (SYNTHETIC),SS,42.8793885496223,-102.60074603744255,Climb,832.0,109.0,Airbus,Model-680,Airplane,1,Turbofan,2,Overcast,Fog,Grey Heron,Ardea cinerea,Large,2-10,2-10,Y,M,None,Nose,Engine,2781.41,1357.15,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00055,2024-11-09,11:15,SAMPLE17,Sample Regional Airport 17 (SYNTHETIC),,54.99408370542601,5.1680603839013965,Approach,751.0,92.0,Embraer,Model-213,Airplane,2,Turbofan,2,No Cloud,None,Rock Pigeon,Columba livia,Small,1,1,N,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00056,2021-08-06,19:47,SAMPLE15,Sample Regional Airport 15 (SYNTHETIC),SS,33.43737526098203,-101.62280589166168,Take-off run,622.0,207.0,Bombardier,Model-122,Airplane,4,Turboprop,2,Some Cloud,None,American Crow,Corvus brachyrhynchos,Small,1,1,,,,Wing,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00057,2023-08-14,20:17,SAMPLE18,Sample Municipal Airport 18 (SYNTHETIC),,46.41387395207065,13.049804481754707,Approach,1768.0,195.0,Bombardier,Model-360,Airplane,3,Turbojet,2,Overcast,None,Great Black-backed Gull,Larus marinus,Small,1,1,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00058,2022-11-21,13:56,SAMPLE05,Sample Regional Airport 05 (SYNTHETIC),SS,42.14014375482878,-104.032313926605,Approach,2.0,122.0,Cessna,Model-683,Airplane,4,Turbojet,4,Some Cloud,Rain,Mute Swan,Cygnus olor,Small,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00059,2022-10-29,19:40,SAMPLE14,Sample Municipal Airport 14 (SYNTHETIC),SS,38.87688474078284,-94.87593894197605,Approach,630.0,109.0,Embraer,Model-578,Airplane,2,Turboprop,2,No Cloud,None,American Robin,Turdus migratorius,Large,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00060,2020-10-21,00:24,SAMPLE19,Sample Regional Airport 19 (SYNTHETIC),,47.26887855289853,12.380263085246066,Take-off run,296.0,141.0,Airbus,Model-423,Airplane,5,Turbofan,2,Overcast,Snow,Bald Eagle,Haliaeetus leucocephalus,Small,1,1,Y,S,None,Engine,,4669.52,504.2,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00061,2022-04-22,10:09,SAMPLE22,Sample Municipal Airport 22 (SYNTHETIC),,55.752512248899464,6.247333908972601,Landing Roll,473.0,145.0,Airbus,Model-579,Airplane,5,Turbojet,2,No Cloud,Rain,Herring Gull,Larus argentatus,Medium,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00062,2019-02-20,11:41,SAMPLE16,Sample Municipal Airport 16 (SYNTHETIC),,49.247695739258134,2.343934526182016,Landing Roll,1310.0,224.0,Cessna,Model-352,Airplane,1,Turboprop,2,Some Cloud,None,Greylag Goose,Anser anser,Medium,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00063,2020-05-19,06:31,SAMPLE17,Sample Regional Airport 17 (SYNTHETIC),,54.961168920597316,5.142754664166667,Descent,96.0,206.0,Airbus,Model-293,Airplane,5,Turbojet,4,Overcast,Snow,American Crow,Corvus brachyrhynchos,Small,2-10,2-10,N,,,Fuselage,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00064,2020-08-23,22:34,SAMPLE05,Sample Regional Airport 05 (SYNTHETIC),SS,42.149404228793735,-104.02103318808373,Descent,1313.0,231.0,Boeing,Model-492,Airplane,5,Turbofan,2,No Cloud,None,American Crow,Corvus brachyrhynchos,Large,1,1,N,,,Nose,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00065,2020-03-16,23:23,,Sample Regional Airport 07 (SYNTHETIC),SS,41.900973224108405,-76.45319373388365,Approach,1099.0,151.0,Airbus,Model-826,Airplane,3,Turbojet,2,No Cloud,Rain,Greylag Goose,Anser anser,Medium,1,1,N,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00066,2019-06-27,16:51,SAMPLE11,Sample Regional Airport 11 (SYNTHETIC),SS,33.19229816692218,-119.70707789650989,Approach,1423.0,165.0,Embraer,Model-133,Airplane,2,Turboprop,2,Overcast,None,Mallard,Anas platyrhynchos,Medium,1,1,UNK,,,Engine,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00067,2018-12-27,10:28,SAMPLE20,Sample Municipal Airport 20 (SYNTHETIC),,54.433667985079,4.016063884795378,Take-off run,1268.0,226.0,Cessna,Model-193,Airplane,2,Turbojet,2,Overcast,None,Herring Gull,Larus argentatus,Small,2-10,2-10,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
SAMPLE-00068,2022-07-11,18:41,SAMPLE13,Sample Regional Airport 13 (SYNTHETIC),SS,40.72903627006747,-98.79143612597275,Climb,3973.0,173.0,Airbus,Model-117,Airplane,3,Turboprop,2,Some Cloud,Fog,Canada Goose,Branta canadensis,Small,1,1,N,,,Windshield,,0.0,0.0,0,0,Synthetic sample record generated for pipeline testing.,synthetic_fixture,False
