count_id,site_id,count_date,start_time_local,end_time_local,observation_hours,species_common_name,species_scientific_name,species_code,count,flight_direction,count_type,weather_notes,observer_effort_available,data_origin,operational_use
CNT000050,TREK001,2023-10-15,05:00,06:19,1.33,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,4,NW,visible_migration,clear,False,synthetic_fixture,False
CNT000051,TREK001,2023-10-15,05:00,06:19,1.33,Common Buzzard,Buteo buteo,BUTEO_BUTE,6,E,visible_migration,,True,synthetic_fixture,False
CNT000052,TREK001,2023-11-10,07:00,11:51,4.86,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,7,W,visible_migration,light rain,True,synthetic_fixture,False
CNT000053,TREK001,2023-11-29,08:00,10:04,2.08,Grey Heron,Ardea cinerea,ARDEA_CINE,0,SW,visible_migration,overcast,False,synthetic_fixture,False
CNT000054,TREK001,2023-11-29,08:00,10:04,2.08,Common Buzzard,Buteo buteo,BUTEO_BUTE,4,N,visible_migration,,True,synthetic_fixture,False
CNT000055,TREK001,2023-11-29,08:00,10:04,2.08,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,1,SW,visible_migration,windy,True,synthetic_fixture,False
CNT000056,TREK001,2023-12-26,08:00,13:57,5.96,Rock Pigeon,Columba livia,COLUMBA_LI,4,NW,visible_migration,clear,True,synthetic_fixture,False
CNT000057,TREK001,2023-12-26,08:00,13:57,5.96,Canada Goose,Branta canadensis,BRANTA_CAN,1,S,visible_migration,clear,True,synthetic_fixture,False
CNT000058,TREK001,2023-12-26,08:00,13:57,5.96,Great Black-backed Gull,Larus marinus,LARUS_MARI,1,E,visible_migration,clear,True,synthetic_fixture,False
CNT000059,TREK001,2024-01-04,07:00,12:22,5.37,Herring Gull,Larus argentatus,LARUS_ARGE,6,N,visible_migration,windy,True,synthetic_fixture,False
CNT000060,TREK001,2024-01-04,07:00,12:22,5.37,Mute Swan,Cygnus olor,CYGNUS_OLO,1,W,visible_migration,,True,synthetic_fixture,False
CNT000061,TREK001,2024-01-04,07:00,12:22,5.37,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,3,SW,visible_migration,clear,True,synthetic_fixture,False
CNT000062,TREK001,2024-01-04,07:00,12:22,5.37,Great Blue Heron,Ardea herodias,ARDEA_HERO,5,SE,visible_migration,light rain,True,synthetic_fixture,False
CNT000063,TREK001,2024-01-04,07:00,12:22,5.37,Barn Swallow,Hirundo rustica,HIRUNDO_RU,3,W,visible_migration,,True,synthetic_fixture,False
CNT000064,TREK001,2024-01-12,09:00,10:30,1.5,Common Raven,Corvus corax,CORVUS_COR,4,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000065,TREK001,2024-01-12,09:00,10:30,1.5,Common Kestrel,Falco tinnunculus,FALCO_TINN,4,S,visible_migration,overcast,True,synthetic_fixture,False
CNT000066,TREK001,2024-01-12,09:00,10:30,1.5,Canada Goose,Branta canadensis,BRANTA_CAN,1,SE,visible_migration,overcast,True,synthetic_fixture,False
CNT000067,TREK001,2024-01-12,09:00,10:30,1.5,Mute Swan,Cygnus olor,CYGNUS_OLO,2,SW,visible_migration,light rain,True,synthetic_fixture,False
CNT000068,TREK001,2024-01-27,08:00,10:23,2.39,Mute Swan,Cygnus olor,CYGNUS_OLO,2,N,visible_migration,light rain,True,synthetic_fixture,False
CNT000069,TREK001,2024-01-27,08:00,10:23,2.39,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,2,NE,visible_migration,overcast,True,synthetic_fixture,False
CNT000070,TREK001,2024-01-27,08:00,10:23,2.39,Rock Pigeon,Columba livia,COLUMBA_LI,6,SE,visible_migration,clear,True,synthetic_fixture,False
CNT000071,TREK001,2024-01-30,06:00,07:28,1.48,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,2,S,visible_migration,clear,True,synthetic_fixture,False
CNT000072,TREK001,2024-01-30,06:00,07:28,1.48,Common Raven,Corvus corax,CORVUS_COR,3,W,visible_migration,clear,True,synthetic_fixture,False
CNT000073,TREK001,2024-01-30,06:00,07:28,1.48,Common Starling,Sturnus vulgaris,STURNUS_VU,2,W,visible_migration,overcast,True,synthetic_fixture,False
CNT000074,TREK001,2024-02-21,09:00,11:19,2.32,American Robin,Turdus migratorius,TURDUS_MIG,3,NW,visible_migration,windy,True,synthetic_fixture,False
CNT000075,TREK001,2024-02-26,07:00,09:42,2.7,Herring Gull,Larus argentatus,LARUS_ARGE,7,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000076,TREK001,2024-02-26,07:00,09:42,2.7,Great Cormorant,Phalacrocorax carbo,PHALACROCO,5,NE,visible_migration,,True,synthetic_fixture,False
CNT000077,TREK001,2024-02-26,07:00,09:42,2.7,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,6,N,visible_migration,,True,synthetic_fixture,False
CNT000078,TREK001,2024-02-26,07:00,09:42,2.7,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,5,NW,visible_migration,,True,synthetic_fixture,False
CNT000079,TREK001,2024-02-26,07:00,09:42,2.7,American Robin,Turdus migratorius,TURDUS_MIG,7,E,visible_migration,light rain,True,synthetic_fixture,False
CNT000080,TREK001,2024-03-07,09:00,10:18,1.31,Common Starling,Sturnus vulgaris,STURNUS_VU,9,S,visible_migration,,True,synthetic_fixture,False
CNT000081,TREK001,2024-03-07,09:00,10:18,1.31,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,8,W,visible_migration,windy,True,synthetic_fixture,False
CNT000082,TREK001,2024-03-12,06:00,08:49,2.83,Common Kestrel,Falco tinnunculus,FALCO_TINN,7,S,visible_migration,overcast,True,synthetic_fixture,False
CNT000083,TREK001,2024-03-12,06:00,08:49,2.83,Great Cormorant,Phalacrocorax carbo,PHALACROCO,6,SW,visible_migration,,True,synthetic_fixture,False
CNT000084,TREK001,2024-03-12,06:00,08:49,2.83,Barn Swallow,Hirundo rustica,HIRUNDO_RU,9,SW,visible_migration,windy,True,synthetic_fixture,False
CNT000085,TREK001,2024-03-12,06:00,08:49,2.83,Grey Heron,Ardea cinerea,ARDEA_CINE,8,E,visible_migration,clear,True,synthetic_fixture,False
CNT000086,TREK001,2024-03-12,06:00,08:49,2.83,Common Buzzard,Buteo buteo,BUTEO_BUTE,14,NW,visible_migration,windy,True,synthetic_fixture,False
CNT000087,TREK001,2024-04-14,06:00,08:27,2.45,Great Black-backed Gull,Larus marinus,LARUS_MARI,11,SW,visible_migration,,True,synthetic_fixture,False
CNT000088,TREK001,2024-04-14,06:00,08:27,2.45,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,8,N,visible_migration,overcast,True,synthetic_fixture,False
CNT000089,TREK001,2024-05-11,05:00,06:41,1.69,Mallard,Anas platyrhynchos,ANAS_PLATY,6,NE,visible_migration,light rain,True,synthetic_fixture,False
CNT000090,TREK001,2024-05-11,05:00,06:41,1.69,Great Blue Heron,Ardea herodias,ARDEA_HERO,8,W,visible_migration,windy,True,synthetic_fixture,False
CNT000091,TREK001,2024-05-11,05:00,06:41,1.69,Barn Swallow,Hirundo rustica,HIRUNDO_RU,8,SW,visible_migration,overcast,True,synthetic_fixture,False
CNT000092,TREK001,2024-05-11,05:00,06:41,1.69,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,11,SW,visible_migration,overcast,True,synthetic_fixture,False
CNT000093,TREK001,2024-05-11,05:00,06:41,1.69,Great Cormorant,Phalacrocorax carbo,PHALACROCO,2,NE,visible_migration,clear,True,synthetic_fixture,False
CNT000094,TREK001,2024-06-01,07:00,08:10,1.17,Great Cormorant,Phalacrocorax carbo,PHALACROCO,3,S,visible_migration,light rain,True,synthetic_fixture,False
CNT000095,TREK001,2024-06-01,07:00,08:10,1.17,Common Raven,Corvus corax,CORVUS_COR,3,E,visible_migration,windy,True,synthetic_fixture,False
CNT000096,TREK001,2024-06-21,07:00,10:19,3.32,Herring Gull,Larus argentatus,LARUS_ARGE,1,W,visible_migration,overcast,True,synthetic_fixture,False
CNT000097,TREK001,2024-06-21,07:00,10:19,3.32,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,4,NE,visible_migration,clear,True,synthetic_fixture,False
CNT000098,TREK001,2024-06-21,07:00,10:19,3.32,Great Black-backed Gull,Larus marinus,LARUS_MARI,4,SE,visible_migration,light rain,True,synthetic_fixture,False
CNT000099,TREK001,2024-06-21,07:00,10:19,3.32,Common Kestrel,Falco tinnunculus,FALCO_TINN,5,SW,visible_migration,light rain,True,synthetic_fixture,False
CNT000100,TREK001,2024-08-01,05:00,08:25,3.43,Common Kestrel,Falco tinnunculus,FALCO_TINN,4,SE,visible_migration,light rain,True,synthetic_fixture,False
CNT000101,TREK001,2024-08-01,05:00,08:25,3.43,Great Black-backed Gull,Larus marinus,LARUS_MARI,1,N,visible_migration,overcast,True,synthetic_fixture,False
CNT000102,TREK001,2024-08-01,05:00,08:25,3.43,Herring Gull,Larus argentatus,LARUS_ARGE,4,W,visible_migration,,True,synthetic_fixture,False
CNT000103,TREK001,2024-08-01,05:00,08:25,3.43,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,3,N,visible_migration,overcast,True,synthetic_fixture,False
CNT000104,TREK001,2024-08-09,07:00,10:06,3.11,Mute Swan,Cygnus olor,CYGNUS_OLO,3,NE,visible_migration,light rain,True,synthetic_fixture,False
CNT000105,TREK001,2024-08-09,07:00,10:06,3.11,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,4,E,visible_migration,windy,True,synthetic_fixture,False
CNT000106,TREK001,2024-08-27,05:00,09:05,4.1,Mallard,Anas platyrhynchos,ANAS_PLATY,9,W,visible_migration,,True,synthetic_fixture,False
CNT000107,TREK001,2024-08-27,05:00,09:05,4.1,Mute Swan,Cygnus olor,CYGNUS_OLO,7,NW,visible_migration,clear,True,synthetic_fixture,False
CNT000108,TREK001,2024-08-27,05:00,09:05,4.1,American Robin,Turdus migratorius,TURDUS_MIG,11,E,visible_migration,windy,True,synthetic_fixture,False
CNT000109,TREK001,2024-08-29,06:00,08:43,2.73,Greylag Goose,Anser anser,ANSER_ANSE,10,N,visible_migration,,True,synthetic_fixture,False
CNT000110,TREK001,2024-08-29,06:00,08:43,2.73,Common Buzzard,Buteo buteo,BUTEO_BUTE,4,N,visible_migration,,True,synthetic_fixture,False
CNT000111,TREK001,2024-09-13,08:00,09:07,1.13,American Crow,Corvus brachyrhynchos,CORVUS_BRA,11,SE,visible_migration,clear,True,synthetic_fixture,False
CNT000112,TREK001,2024-09-13,08:00,09:07,1.13,Mute Swan,Cygnus olor,CYGNUS_OLO,9,NW,visible_migration,overcast,True,synthetic_fixture,False
CNT000113,TREK001,2024-09-30,05:00,06:48,1.8,Common Starling,Sturnus vulgaris,STURNUS_VU,8,SE,visible_migration,,True,synthetic_fixture,False
CNT000114,TREK001,2024-09-30,05:00,06:48,1.8,Common Kestrel,Falco tinnunculus,FALCO_TINN,7,NW,visible_migration,light rain,True,synthetic_fixture,False
CNT000115,TREK001,2024-10-11,07:00,12:54,5.91,Rock Pigeon,Columba livia,COLUMBA_LI,6,NE,visible_migration,,True,synthetic_fixture,False
CNT000116,TREK001,2024-10-11,07:00,12:54,5.91,Common Kestrel,Falco tinnunculus,FALCO_TINN,10,S,visible_migration,clear,True,synthetic_fixture,False
CNT000117,TREK001,2024-10-11,07:00,12:54,5.91,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,9,NE,visible_migration,clear,True,synthetic_fixture,False
CNT000118,TREK001,2024-10-11,07:00,12:54,5.91,American Robin,Turdus migratorius,TURDUS_MIG,11,SE,visible_migration,clear,True,synthetic_fixture,False
CNT000119,TREK001,2024-11-23,07:00,08:28,1.48,Rock Pigeon,Columba livia,COLUMBA_LI,5,SE,visible_migration,overcast,True,synthetic_fixture,False
CNT000120,TREK001,2024-11-23,07:00,08:28,1.48,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,1,SE,visible_migration,overcast,True,synthetic_fixture,False
CNT000121,TREK001,2024-12-19,09:00,10:11,1.2,Great Blue Heron,Ardea herodias,ARDEA_HERO,1,E,visible_migration,,True,synthetic_fixture,False
CNT000122,TREK001,2024-12-19,09:00,10:11,1.2,American Crow,Corvus brachyrhynchos,CORVUS_BRA,1,N,visible_migration,,True,synthetic_fixture,False
CNT000123,TREK002,2023-02-16,07:00,10:43,3.72,Barn Swallow,Hirundo rustica,HIRUNDO_RU,3,SW,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000124,TREK002,2023-02-16,07:00,10:43,3.72,Common Raven,Corvus corax,CORVUS_COR,3,E,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000125,TREK002,2023-02-16,07:00,10:43,3.72,American Crow,Corvus brachyrhynchos,CORVUS_BRA,6,E,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000126,TREK002,2023-02-16,07:00,10:43,3.72,Mute Swan,Cygnus olor,CYGNUS_OLO,5,S,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000127,TREK002,2023-02-16,07:00,10:43,3.72,Common Kestrel,Falco tinnunculus,FALCO_TINN,4,SE,nocturnal_flight_call,light rain,True,synthetic_fixture,False
CNT000128,TREK002,2023-02-20,09:00,13:50,4.85,Great Blue Heron,Ardea herodias,ARDEA_HERO,5,NE,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000129,TREK002,2023-02-20,09:00,13:50,4.85,Mallard,Anas platyrhynchos,ANAS_PLATY,2,NE,nocturnal_flight_call,light rain,True,synthetic_fixture,False
CNT000130,TREK002,2023-03-10,07:00,10:10,3.18,Mallard,Anas platyrhynchos,ANAS_PLATY,6,S,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000131,TREK002,2023-03-10,07:00,10:10,3.18,Rock Pigeon,Columba livia,COLUMBA_LI,10,SE,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000132,TREK002,2023-04-03,09:00,11:51,2.85,Common Buzzard,Buteo buteo,BUTEO_BUTE,8,SE,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000133,TREK002,2023-04-03,09:00,11:51,2.85,Common Starling,Sturnus vulgaris,STURNUS_VU,13,NE,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000134,TREK002,2023-04-03,09:00,11:51,2.85,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,7,NW,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000135,TREK002,2023-04-03,09:00,11:51,2.85,Bald Eagle,Haliaeetus leucocephalus,HALIAEETUS,16,E,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000136,TREK002,2023-04-03,09:00,11:51,2.85,Great Blue Heron,Ardea herodias,ARDEA_HERO,10,SW,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000137,TREK002,2023-04-03,05:00,07:32,2.54,Mallard,Anas platyrhynchos,ANAS_PLATY,14,SE,nocturnal_flight_call,light rain,True,synthetic_fixture,False
CNT000138,TREK002,2023-04-03,05:00,07:32,2.54,American Crow,Corvus brachyrhynchos,CORVUS_BRA,11,E,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000139,TREK002,2023-04-04,05:00,08:20,3.34,Common Buzzard,Buteo buteo,BUTEO_BUTE,9,SE,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000140,TREK002,2023-05-06,06:00,07:38,1.65,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,14,SW,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000141,TREK002,2023-05-19,07:00,10:02,3.04,Common Kestrel,Falco tinnunculus,FALCO_TINN,8,W,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000142,TREK002,2023-05-19,07:00,10:02,3.04,Common Starling,Sturnus vulgaris,STURNUS_VU,5,E,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000143,TREK002,2023-05-19,07:00,10:02,3.04,Great Blue Heron,Ardea herodias,ARDEA_HERO,6,N,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000144,TREK002,2023-05-25,09:00,13:23,4.39,Herring Gull,Larus argentatus,LARUS_ARGE,7,SW,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000145,TREK002,2023-05-25,09:00,13:23,4.39,Great Cormorant,Phalacrocorax carbo,PHALACROCO,2,NW,nocturnal_flight_call,light rain,True,synthetic_fixture,False
CNT000146,TREK002,2023-05-25,09:00,13:23,4.39,Great Black-backed Gull,Larus marinus,LARUS_MARI,4,NE,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000147,TREK002,2023-05-25,09:00,13:23,4.39,Rock Pigeon,Columba livia,COLUMBA_LI,8,NW,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000148,TREK002,2023-05-25,09:00,13:23,4.39,Common Buzzard,Buteo buteo,BUTEO_BUTE,3,SE,nocturnal_flight_call,light rain,True,synthetic_fixture,False
CNT000149,TREK002,2023-05-26,05:00,10:32,5.54,Common Raven,Corvus corax,CORVUS_COR,5,E,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000150,TREK002,2023-05-26,05:00,10:32,5.54,Great Black-backed Gull,Larus marinus,LARUS_MARI,7,N,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000151,TREK002,2023-05-26,05:00,10:32,5.54,Eurasian Sparrowhawk,Accipiter nisus,ACCIPITER_,8,W,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000152,TREK002,2023-05-26,05:00,10:32,5.54,Grey Heron,Ardea cinerea,ARDEA_CINE,3,SW,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000153,TREK002,2023-07-28,07:00,10:54,3.91,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,8,E,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000154,TREK002,2023-07-28,07:00,10:54,3.91,American Crow,Corvus brachyrhynchos,CORVUS_BRA,4,S,nocturnal_flight_call,windy,True,synthetic_fixture,False
CNT000155,TREK002,2023-07-28,07:00,10:54,3.91,Barn Swallow,Hirundo rustica,HIRUNDO_RU,6,NW,nocturnal_flight_call,,False,synthetic_fixture,False
CNT000156,TREK002,2023-07-28,07:00,10:54,3.91,Black-headed Gull,Chroicocephalus ridibundus,CHROICOCEP,4,SE,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000157,TREK002,2023-07-28,07:00,10:54,3.91,Rock Pigeon,Columba livia,COLUMBA_LI,0,W,nocturnal_flight_call,overcast,True,synthetic_fixture,False
CNT000158,TREK002,2023-07-30,09:00,13:45,4.75,Great Blue Heron,Ardea herodias,ARDEA_HERO,6,E,nocturnal_flight_call,windy,False,synthetic_fixture,False
CNT000159,TREK002,2023-08-08,06:00,11:47,5.79,Great Cormorant,Phalacrocorax carbo,PHALACROCO,4,N,nocturnal_flight_call,,True,synthetic_fixture,False
CNT000160,TREK002,2023-08-08,06:00,11:47,5.79,Common Ringed Plover,Charadrius hiaticula,CHARADRIUS,6,W,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000161,TREK002,2023-08-08,06:00,11:47,5.79,Mallard,Anas platyrhynchos,ANAS_PLATY,1,SE,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000162,TREK002,2023-08-15,05:00,06:39,1.66,Great Blue Heron,Ardea herodias,ARDEA_HERO,9,W,nocturnal_flight_call,clear,True,synthetic_fixture,False
CNT000163,TREK002,2023-09-22,05:00,07:17,2.3,Mallard,Anas platyrhynchos,ANAS_PLATY,10,SW,nocturnal_flight_call,,True,synthetic_fixture,False
