row_type,rank,species,mar,apr,may,jun,jul,aug,sep,oct,nov,total,newly_ringed,retraps,maximum_count,maximum_date,maximum_url,presence_percent,presence_days,first_date,first_url,last_date,last_url
species,28,Great Crested Flycatcher,0,1,5,0,0,12,0,0,0,18,13,5,3,5 Aug,https://www.trektellen.org/count/view/3460/20250805,8,14,26 Apr,https://www.trektellen.org/count/view/3460/20250426,31 Aug,https://www.trektellen.org/count/view/3460/20250831
species,29,Red-eyed Vireo,0,0,3,0,0,16,43,7,0,69,68,1,6,11 Sep,https://www.trektellen.org/count/view/3460/20250911,21,38,17 May,https://www.trektellen.org/count/view/3460/20250517,15 Oct,https://www.trektellen.org/count/view/3460/20251015
species,30,Philadelphia Vireo,0,0,0,0,0,0,2,0,0,2,2,0,1,19 Sep,https://www.trektellen.org/count/view/3460/20250919,1,2,19 Sep,https://www.trektellen.org/count/view/3460/20250919,25 Sep,https://www.trektellen.org/count/view/3460/20250925
species,31,Warbling Vireo,0,0,2,0,0,2,0,0,0,4,3,1,2,9 May,https://www.trektellen.org/count/view/3460/20250509,2,3,9 May,https://www.trektellen.org/count/view/3460/20250509,16 Aug,https://www.trektellen.org/count/view/3460/20250816
species,32,Blue-headed Vireo,0,0,0,0,0,0,0,11,0,11,11,0,2,15 Oct,https://www.trektellen.org/count/view/3460/20251015,4,8,1 Oct,https://www.trektellen.org/count/view/3460/20251001,26 Oct,https://www.trektellen.org/count/view/3460/20251026
species,33,White-eyed Vireo,0,3,19,0,0,12,9,0,0,43,24,19,4,5 May,https://www.trektellen.org/count/view/3460/20250505,18,32,9 Apr,https://www.trektellen.org/count/view/3460/20250409,27 Sep,https://www.trektellen.org/count/view/3460/20250927
species,34,Blue Jay,3,17,13,0,0,0,3,28,13,77,52,25,4,4 Oct,https://www.trektellen.org/count/view/3460/20251004,28,51,17 Mar,https://www.trektellen.org/count/view/3460/20250317,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,35,Cedar Waxwing,0,0,4,0,0,1,0,0,3,8,8,0,1,8 May,https://www.trektellen.org/count/view/3460/20250508,4,8,8 May,https://www.trektellen.org/count/view/3460/20250508,24 Nov,https://www.trektellen.org/count/view/3460/20251124
species,36,Tufted Titmouse,40,20,5,0,0,11,21,18,8,123,16,107,6,4 Mar,https://www.trektellen.org/count/view/3460/20250304,42,76,3 Mar,https://www.trektellen.org/count/view/3460/20250303,12 Nov,https://www.trektellen.org/count/view/3460/20251112
species,37,Carolina Chickadee,47,22,25,0,0,23,25,29,26,197,34,163,7,4 Mar,https://www.trektellen.org/count/view/3460/20250304,57,103,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,38,Tree Swallow,3,11,29,0,0,0,9,0,0,52,35,17,10,15 May,https://www.trektellen.org/count/view/3460/20250515,11,20,30 Mar,https://www.trektellen.org/count/view/3460/20250330,6 Sep,https://www.trektellen.org/count/view/3460/20250906
species,39,Northern Rough-winged Swallow,0,0,3,0,0,7,20,0,0,30,30,0,12,6 Sep,https://www.trektellen.org/count/view/3460/20250906,7,12,2 May,https://www.trektellen.org/count/view/3460/20250502,11 Sep,https://www.trektellen.org/count/view/3460/20250911
species,40,Swallow,0,5,18,0,0,12,3,0,0,38,29,9,5,1 Aug,https://www.trektellen.org/count/view/3460/20250801,12,22,22 Apr,https://www.trektellen.org/count/view/3460/20250422,6 Sep,https://www.trektellen.org/count/view/3460/20250906
species,41,Ruby-crowned Kinglet,5,39,0,0,0,0,3,547,68,662,593,69,110,18 Oct,https://www.trektellen.org/count/view/3460/20251018,35,64,4 Mar,https://www.trektellen.org/count/view/3460/20250304,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,42,Golden-crowned Kinglet,21,4,0,0,0,0,0,93,32,150,120,30,11,18 Oct,https://www.trektellen.org/count/view/3460/20251018,26,47,3 Mar,https://www.trektellen.org/count/view/3460/20250303,20 Nov,https://www.trektellen.org/count/view/3460/20251120
species,43,Carolina Wren,36,18,22,0,0,69,39,46,27,257,70,187,6,3 Aug,https://www.trektellen.org/count/view/3460/20250803,70,127,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,44,Winter Wren,3,4,0,0,0,0,1,31,15,54,39,15,6,18 Oct,https://www.trektellen.org/count/view/3460/20251018,19,34,13 Mar,https://www.trektellen.org/count/view/3460/20250313,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,45,House Wren,0,19,2,0,0,6,51,21,0,99,69,30,5,27 Sep,https://www.trektellen.org/count/view/3460/20250927,30,55,6 Apr,https://www.trektellen.org/count/view/3460/20250406,19 Oct,https://www.trektellen.org/count/view/3460/20251019
species,46,Blue-grey Gnatcatcher,0,8,0,0,0,5,0,0,0,13,11,2,2,8 Apr,https://www.trektellen.org/count/view/3460/20250408,5,9,8 Apr,https://www.trektellen.org/count/view/3460/20250408,19 Aug,https://www.trektellen.org/count/view/3460/20250819
species,47,White-breasted Nuthatch,4,2,4,0,0,0,2,0,1,13,4,9,2,18 May,https://www.trektellen.org/count/view/3460/20250518,7,12,6 Mar,https://www.trektellen.org/count/view/3460/20250306,9 Nov,https://www.trektellen.org/count/view/3460/20251109
species,48,Red-breasted Nuthatch,0,0,0,0,0,0,0,2,6,8,6,2,2,8 Nov,https://www.trektellen.org/count/view/3460/20251108,3,6,15 Oct,https://www.trektellen.org/count/view/3460/20251015,24 Nov,https://www.trektellen.org/count/view/3460/20251124
species,49,Brown Creeper,5,1,0,0,0,0,0,6,8,20,16,4,2,4 Mar,https://www.trektellen.org/count/view/3460/20250304,9,16,4 Mar,https://www.trektellen.org/count/view/3460/20250304,20 Nov,https://www.trektellen.org/count/view/3460/20251120
species,50,Grey Catbird,0,109,241,0,0,150,275,161,18,954,726,228,42,1 May,https://www.trektellen.org/count/view/3460/20250501,69,125,19 Apr,https://www.trektellen.org/count/view/3460/20250419,21 Nov,https://www.trektellen.org/count/view/3460/20251121
species,51,Northern Mockingbird,10,4,2,0,0,6,4,4,11,41,17,24,3,25 Aug,https://www.trektellen.org/count/view/3460/20250825,18,33,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,52,Brown Thrasher,14,23,23,0,0,26,28,19,13,146,82,64,4,27 May,https://www.trektellen.org/count/view/3460/20250527,54,98,7 Mar,https://www.trektellen.org/count/view/3460/20250307,20 Nov,https://www.trektellen.org/count/view/3460/20251120
species,53,Starling,0,0,1,0,0,0,0,0,0,1,1,0,1,25 May,https://www.trektellen.org/count/view/3460/20250525,1,1,25 May,https://www.trektellen.org/count/view/3460/20250525,25 May,https://www.trektellen.org/count/view/3460/20250525
species,54,Eastern Bluebird,3,6,36,0,0,13,0,4,4,66,53,13,13,22 Aug,https://www.trektellen.org/count/view/3460/20250822,13,24,10 Mar,https://www.trektellen.org/count/view/3460/20250310,18 Nov,https://www.trektellen.org/count/view/3460/20251118
species,55,Wood Thrush,0,19,55,0,0,96,55,6,0,231,112,119,9,1 Aug,https://www.trektellen.org/count/view/3460/20250801,47,86,6 Apr,https://www.trektellen.org/count/view/3460/20250406,11 Oct,https://www.trektellen.org/count/view/3460/20251011
species,56,Swainson's Thrush,0,0,16,0,0,0,21,7,0,44,44,0,4,11 Sep,https://www.trektellen.org/count/view/3460/20250911,15,27,11 May,https://www.trektellen.org/count/view/3460/20250511,18 Oct,https://www.trektellen.org/count/view/3460/20251018
species,57,Hermit Thrush,15,47,0,0,0,0,0,220,133,415,302,113,37,18 Oct,https://www.trektellen.org/count/view/3460/20251018,36,66,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,58,Grey-cheeked Thrush,0,0,4,0,0,0,2,4,0,10,9,1,2,10 Oct,https://www.trektellen.org/count/view/3460/20251010,5,9,23 May,https://www.trektellen.org/count/view/3460/20250523,11 Oct,https://www.trektellen.org/count/view/3460/20251011
species,59,Bicknell's Thrush,0,0,3,0,0,0,1,3,0,7,6,1,1,15 May,https://www.trektellen.org/count/view/3460/20250515,4,7,15 May,https://www.trektellen.org/count/view/3460/20250515,4 Oct,https://www.trektellen.org/count/view/3460/20251004
species,60,Grey-cheeked Thrush / Bicknell's Thrush,0,0,1,0,0,0,0,2,0,3,3,0,1,20 May,https://www.trektellen.org/count/view/3460/20250520,2,3,20 May,https://www.trektellen.org/count/view/3460/20250520,3 Oct,https://www.trektellen.org/count/view/3460/20251003
species,61,Veery,0,0,15,0,0,17,61,1,0,94,85,9,8,13 Sep,https://www.trektellen.org/count/view/3460/20250913,23,42,1 May,https://www.trektellen.org/count/view/3460/20250501,1 Oct,https://www.trektellen.org/count/view/3460/20251001
species,62,American Robin,5,1,0,0,0,0,0,1,42,49,49,0,14,8 Nov,https://www.trektellen.org/count/view/3460/20251108,8,15,23 Mar,https://www.trektellen.org/count/view/3460/20250323,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,63,House Sparrow,0,0,1,0,0,0,0,0,0,1,1,0,1,6 May,https://www.trektellen.org/count/view/3460/20250506,1,1,6 May,https://www.trektellen.org/count/view/3460/20250506,6 May,https://www.trektellen.org/count/view/3460/20250506
species,64,Purple Finch,2,0,0,0,0,0,0,13,61,76,70,6,6,15 Nov,https://www.trektellen.org/count/view/3460/20251115,16,30,8 Mar,https://www.trektellen.org/count/view/3460/20250308,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,65,House Finch,213,3,1,0,0,1,0,0,67,285,195,90,41,4 Mar,https://www.trektellen.org/count/view/3460/20250304,19,35,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,66,American Goldfinch,49,55,42,0,0,13,13,18,46,236,160,76,22,20 Nov,https://www.trektellen.org/count/view/3460/20251120,51,93,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,67,Grasshopper Sparrow,0,0,0,0,0,4,2,9,1,16,13,3,1,2 Aug,https://www.trektellen.org/count/view/3460/20250802,9,16,2 Aug,https://www.trektellen.org/count/view/3460/20250802,1 Nov,https://www.trektellen.org/count/view/3460/20251101
species,68,Chipping Sparrow,3,115,6,0,0,6,0,42,12,184,138,46,30,9 Apr,https://www.trektellen.org/count/view/3460/20250409,27,49,20 Mar,https://www.trektellen.org/count/view/3460/20250320,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,69,Field Sparrow,37,50,45,0,0,31,34,191,187,575,300,275,28,26 Oct,https://www.trektellen.org/count/view/3460/20251026,72,131,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,70,Fox Sparrow (Red),14,0,0,0,0,0,0,0,20,34,29,5,7,15 Nov,https://www.trektellen.org/count/view/3460/20251115,11,20,3 Mar,https://www.trektellen.org/count/view/3460/20250303,21 Nov,https://www.trektellen.org/count/view/3460/20251121
species,71,Dark-eyed Junco (Slate-colored),18,40,0,0,0,0,0,126,296,480,423,57,55,15 Nov,https://www.trektellen.org/count/view/3460/20251115,36,66,6 Mar,https://www.trektellen.org/count/view/3460/20250306,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,72,White-crowned Sparrow (Eastern),0,1,0,0,0,0,0,14,3,18,14,4,3,18 Oct,https://www.trektellen.org/count/view/3460/20251018,8,14,30 Apr,https://www.trektellen.org/count/view/3460/20250430,19 Nov,https://www.trektellen.org/count/view/3460/20251119
species,73,White-throated Sparrow,283,342,55,0,0,0,13,1446,1602,3741,2548,1193,133,18 Oct,https://www.trektellen.org/count/view/3460/20251018,66,120,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,74,Vesper Sparrow,0,1,0,0,0,0,0,0,0,1,1,0,1,14 Apr,https://www.trektellen.org/count/view/3460/20250414,1,1,14 Apr,https://www.trektellen.org/count/view/3460/20250414,14 Apr,https://www.trektellen.org/count/view/3460/20250414
species,75,Savannah Sparrow,3,5,4,0,0,0,2,109,61,184,171,13,26,23 Oct,https://www.trektellen.org/count/view/3460/20251023,25,45,19 Mar,https://www.trektellen.org/count/view/3460/20250319,21 Nov,https://www.trektellen.org/count/view/3460/20251121
species,76,Song Sparrow,124,12,1,0,0,2,1,806,803,1749,1370,379,86,26 Oct,https://www.trektellen.org/count/view/3460/20251026,47,85,3 Mar,https://www.trektellen.org/count/view/3460/20250303,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,77,Lincoln's Sparrow,0,0,15,0,0,0,7,65,20,107,81,26,7,18 Oct,https://www.trektellen.org/count/view/3460/20251018,27,50,5 May,https://www.trektellen.org/count/view/3460/20250505,24 Nov,https://www.trektellen.org/count/view/3460/20251124
species,78,Swamp Sparrow,16,82,46,0,0,0,3,374,181,702,562,140,32,17 Oct,https://www.trektellen.org/count/view/3460/20251017,53,96,6 Mar,https://www.trektellen.org/count/view/3460/20250306,26 Nov,https://www.trektellen.org/count/view/3460/20251126
species,79,Eastern Towhee,2,25,5,0,0,10,3,85,54,184,108,76,9,21 Oct,https://www.trektellen.org/count/view/3460/20251021,41,74,20 Mar,https://www.trektellen.org/count/view/3460/20250320,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,80,Yellow-breasted Chat,0,2,112,0,0,48,27,4,0,193,66,127,10,5 May,https://www.trektellen.org/count/view/3460/20250505,41,75,27 Apr,https://www.trektellen.org/count/view/3460/20250427,14 Oct,https://www.trektellen.org/count/view/3460/20251014
species,81,Bobolink,0,0,0,0,0,0,1,0,0,1,1,0,1,5 Sep,https://www.trektellen.org/count/view/3460/20250905,1,1,5 Sep,https://www.trektellen.org/count/view/3460/20250905,5 Sep,https://www.trektellen.org/count/view/3460/20250905
species,82,Baltimore Oriole,0,4,19,0,0,6,0,0,0,29,21,8,5,5 May,https://www.trektellen.org/count/view/3460/20250505,6,11,30 Apr,https://www.trektellen.org/count/view/3460/20250430,25 Aug,https://www.trektellen.org/count/view/3460/20250825
species,83,Orchard Oriole,0,9,22,0,0,1,0,0,0,32,17,15,5,19 May,https://www.trektellen.org/count/view/3460/20250519,8,14,21 Apr,https://www.trektellen.org/count/view/3460/20250421,1 Aug,https://www.trektellen.org/count/view/3460/20250801
species,84,Red-winged Blackbird,555,600,55,0,0,3,0,0,2,1215,785,430,75,17 Apr,https://www.trektellen.org/count/view/3460/20250417,41,74,3 Mar,https://www.trektellen.org/count/view/3460/20250303,25 Nov,https://www.trektellen.org/count/view/3460/20251125
species,85,Brown-headed Cowbird,17,85,37,0,0,2,0,0,1,142,69,73,8,10 Apr,https://www.trektellen.org/count/view/3460/20250410,31,56,8 Mar,https://www.trektellen.org/count/view/3460/20250308,17 Nov,https://www.trektellen.org/count/view/3460/20251117
species,86,Common Grackle,50,12,12,0,0,0,0,2,0,76,69,7,7,19 Mar,https://www.trektellen.org/count/view/3460/20250319,18,32,4 Mar,https://www.trektellen.org/count/view/3460/20250304,17 Oct,https://www.trektellen.org/count/view/3460/20251017
species,87,Common Grackle (Purple),18,11,0,0,0,0,0,0,0,29,29,0,6,11 Mar,https://www.trektellen.org/count/view/3460/20250311,5,9,3 Mar,https://www.trektellen.org/count/view/3460/20250303,27 Apr,https://www.trektellen.org/count/view/3460/20250427
species,88,Ovenbird,0,5,26,0,0,99,122,32,0,284,202,82,14,28 Aug,https://www.trektellen.org/count/view/3460/20250828,44,80,14 Apr,https://www.trektellen.org/count/view/3460/20250414,18 Oct,https://www.trektellen.org/count/view/3460/20251018
species,89,Worm-eating Warbler,0,0,2,0,0,2,0,0,0,4,4,0,1,1 May,https://www.trektellen.org/count/view/3460/20250501,2,4,1 May,https://www.trektellen.org/count/view/3460/20250501,25 Aug,https://www.trektellen.org/count/view/3460/20250825
species,90,Louisiana Waterthrush,0,2,1,0,0,3,1,0,0,7,6,1,1,20 Apr,https://www.trektellen.org/count/view/3460/20250420,4,7,20 Apr,https://www.trektellen.org/count/view/3460/20250420,10 Sep,https://www.trektellen.org/count/view/3460/20250910
species,91,Northern Waterthrush,0,2,43,0,0,25,44,0,0,114,105,9,8,6 May,https://www.trektellen.org/count/view/3460/20250506,29,53,22 Apr,https://www.trektellen.org/count/view/3460/20250422,28 Sep,https://www.trektellen.org/count/view/3460/20250928
species,92,Golden-winged Warbler,0,0,0,0,0,0,1,0,0,1,1,0,1,4 Sep,https://www.trektellen.org/count/view/3460/20250904,1,1,4 Sep,https://www.trektellen.org/count/view/3460/20250904,4 Sep,https://www.trektellen.org/count/view/3460/20250904
species,93,Blue-winged Warbler,0,0,0,0,0,3,3,1,0,7,7,0,1,12 Aug,https://www.trektellen.org/count/view/3460/20250812,4,7,12 Aug,https://www.trektellen.org/count/view/3460/20250812,3 Oct,https://www.trektellen.org/count/view/3460/20251003
species,94,Blue-winged/Golden-winged Warbler,0,0,0,0,0,2,0,0,0,2,1,1,1,24 Aug,https://www.trektellen.org/count/view/3460/20250824,1,2,24 Aug,https://www.trektellen.org/count/view/3460/20250824,27 Aug,https://www.trektellen.org/count/view/3460/20250827
species,95,Black-and-white Warbler,0,0,10,0,0,33,77,12,0,132,109,23,8,25 Aug,https://www.trektellen.org/count/view/3460/20250825,28,51,1 May,https://www.trektellen.org/count/view/3460/20250501,16 Oct,https://www.trektellen.org/count/view/3460/20251016
species,96,Swainson's Warbler,0,0,2,0,0,0,0,0,0,2,1,1,1,27 May,https://www.trektellen.org/count/view/3460/20250527,1,2,27 May,https://www.trektellen.org/count/view/3460/20250527,29 May,https://www.trektellen.org/count/view/3460/20250529
species,97,Tennessee Warbler,0,0,0,0,0,0,9,3,0,12,12,0,2,13 Sep,https://www.trektellen.org/count/view/3460/20250913,5,10,3 Sep,https://www.trektellen.org/count/view/3460/20250903,18 Oct,https://www.trektellen.org/count/view/3460/20251018
species,98,Orange-crowned Warbler,0,0,0,0,0,0,0,2,1,3,3,0,1,9 Oct,https://www.trektellen.org/count/view/3460/20251009,2,3,9 Oct,https://www.trektellen.org/count/view/3460/20251009,12 Nov,https://www.trektellen.org/count/view/3460/20251112
species,99,Nashville Warbler,0,0,0,0,0,0,4,11,1,16,12,4,2,29 Sep,https://www.trektellen.org/count/view/3460/20250929,7,13,11 Sep,https://www.trektellen.org/count/view/3460/20250911,15 Nov,https://www.trektellen.org/count/view/3460/20251115
species,100,Connecticut Warbler,0,0,0,0,0,0,8,5,0,13,12,1,2,13 Sep,https://www.trektellen.org/count/view/3460/20250913,7,12,8 Sep,https://www.trektellen.org/count/view/3460/20250908,17 Oct,https://www.trektellen.org/count/view/3460/20251017
species,101,Mourning Warbler,0,0,3,0,0,5,1,1,0,10,7,3,1,18 May,https://www.trektellen.org/count/view/3460/20250518,5,10,18 May,https://www.trektellen.org/count/view/3460/20250518,18 Oct,https://www.trektellen.org/count/view/3460/20251018
species,102,Kentucky Warbler,0,0,0,0,0,2,0,0,0,2,2,0,1,14 Aug,https://www.trektellen.org/count/view/3460/20250814,1,2,14 Aug,https://www.trektellen.org/count/view/3460/20250814,31 Aug,https://www.trektellen.org/count/view/3460/20250831
species,103,Common Yellowthroat,0,175,577,0,0,132,518,119,1,1522,940,582,148,15 May,https://www.trektellen.org/count/view/3460/20250515,67,122,4 Apr,https://www.trektellen.org/count/view/3460/20250404,7 Nov,https://www.trektellen.org/count/view/3460/20251107
species,104,Hooded Warbler,0,0,0,0,0,3,1,0,0,4,3,1,1,9 Aug,https://www.trektellen.org/count/view/3460/20250809,2,4,9 Aug,https://www.trektellen.org/count/view/3460/20250809,28 Sep,https://www.trektellen.org/count/view/3460/20250928
species,105,American Redstart,0,0,26,0,0,53,120,4,0,203,189,14,12,3 Sep,https://www.trektellen.org/count/view/3460/20250903,33,60,5 May,https://www.trektellen.org/count/view/3460/20250505,15 Oct,https://www.trektellen.org/count/view/3460/20251015
species,106,Cape May Warbler,0,0,0,0,0,1,4,0,0,5,5,0,1,29 Aug,https://www.trektellen.org/count/view/3460/20250829,3,5,29 Aug,https://www.trektellen.org/count/view/3460/20250829,27 Sep,https://www.trektellen.org/count/view/3460/20250927
species,107,Northern Parula,0,0,6,0,0,0,23,8,0,37,36,1,5,18 Sep,https://www.trektellen.org/count/view/3460/20250918,12,22,6 May,https://www.trektellen.org/count/view/3460/20250506,14 Oct,https://www.trektellen.org/count/view/3460/20251014
species,108,Magnolia Warbler,0,0,15,0,0,11,141,9,0,176,149,27,18,27 Sep,https://www.trektellen.org/count/view/3460/20250927,24,44,11 May,https://www.trektellen.org/count/view/3460/20250511,4 Oct,https://www.trektellen.org/count/view/3460/20251004
